Cal,78,2
Travis,49,4
Chris,74,1
Cal,67,2
Dave,62,3
Travis,45,7
Dave,76,1
Cal,75,2
Travis,58,3
Peter,44,6
Chris,74,1
Travis,57,3
Dave,56,4
Peter,48,5
Cal,74,1
Dave,74,1
Chris,66,3
Travis,49,4
Cal,73,1
Chris,66,2
Dave,60,3
Travis,50,5
Cal,75,1
Dave,69,2
Travis,37,3
Chris,29,4
Dave,84,1
Chris,65,2
Conn,61,3
Cal,52,4
Chris,87,1
Cal,67,2
Dave,74,1
Chris,68,2
Cal,65,3
Conn,53,4
Chris,76,1
Cal,75,2
Chris,79,1
Cal,78,2
Cal,84,1
Chris,78,2
Cal,76,1
Chris,74,2
Dave,65,3
Conn,43,7
Chris,79,1
Dave,71,2
Cal,69,3
Dave,74,1
Cal,67,2
Chris,64,3
Conn,40,7
Cal,82,1
Chris,78,2
Cal,84,1
Chris,78,2
Chris,87,1
Cal,75,2
Chris,85,1
Cal,58,3
Cal,77,1
Chris,71,2
Cal,90,1
Chris,70,2
Chris,82,1
Cal,71,2
Cal,76,1
Chris,75,2
Cal,77,1
Chris,76,2
Conn,59,3
Chris,84,1
Cal,66,2
Cal,81,1
Chris,75,2
Chris,76,1
Cal,74,2
Conn,46,6
Cal,77,1
Chris,70,2
Dave,65,3
Conn,46,4
Dave,84,1
Chris,64,2
Cal,57,3
Conn,51,5
Chris,72,1
Dave,72,1
Cal,67,3
Cal,70,1
Dave,69,2
Chris,64,3
Caitlin,26,7
Cal,78,1
Chris,77,2
Chris,77,1
Dave,73,2
Cal,55,3
Dave,77,1
Chris,70,2
Cal,62,3
Ciaran,47,6
Dave,73,1
Chris,67,2
Cal,62,3
Ciaran,54,4
Chris,76,1
Cal,65,2
Dave,84,1
Chris,63,2
Cal,51,5
Cal,84,1
Dave,71,2
Travis,58,3
Chris,87,1
Dave,69,2
Cal,58,3
Travis,46,5
Dave,79,1
Cal,74,2
Travis,48,6
Caitlin,26,8
Dave,73,1
Chris,73,1
Cal,64,3
Caitlin,27,9
Chris,90,1
Dave,65,2
Cal,51,4
Caitlin,43,7
Chris,85,1
Dave,64,2
Cal,62,3
Caitlin,32,7
Dave,73,1
Chris,61,2
Cal,61,2
Chris,72,1
Dave,72,1
Cal,62,3
Conn,43,6
Cal,73,1
Dave,71,2
Chris,65,3
Cal,79,1
Chris,77,2
Chris,78,1
Cal,72,2
Cal,81,1
Chris,71,2
Chris,79,1
Cal,78,2
Chris,81,1
Cal,72,2
Conn,52,3
